tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-580,Australian Open,Hard,128,G,O,20260120,46,S0S1,8,,Ben Shelton,L,193,USA,23.283,7,4000,HH26,,,Ugo Humbert,L,188,FRA,27.57,33,1510,6-3 7-6(2) 7-6(5),5,R128,160,15,2,103,72,56,20,0,1,3,5,6,107,64,47,21,0,7,10
2026-580,Australian Open,Hard,128,G,O,20260120,47,KE29,15,,Karen Khachanov,R,198,RUS,29.667,18,2320,M0QI,,,Alex Michelsen,R,193,USA,21.405,38,1350,4-6 6-4 6-3 5-7 6-3,5,R128,237,24,4,176,112,86,31,0,11,13,16,4,142,94,72,25,0,11,15
2026-580,Australian Open,Hard,128,G,O,20260120,48,M0NI,16,,Jakub Mensik,R,196,CZE,20.386,17,2345,CD85,,,Pablo Carreno Busta,R,188,ESP,34.527,94,656,7-5 4-6 2-6 7-6(1) 6-3,5,R128,253,27,19,185,105,79,31,0,12,18,1,6,161,109,75,23,0,6,12
2026-580,Australian Open,Hard,128,G,O,20260120,49,D0FJ,22,,Luciano Darderi,R,183,ITA,23.932,25,1599,GD64,,,Cristian Garin,R,185,CHI,29.643,82,726,7-6(5) 7-5 7-6(3),5,R128,176,15,2,101,63,50,25,0,2,4,12,6,132,78,54,27,0,8,11
2026-580,Australian Open,Hard,128,G,O,20260120,50,Q02L,,,Ethan Quinn,R,191,USA,21.859,80,733,GJ37,23,,Tallon Griekspoor,R,188,NED,29.552,26,1565,6-2 6-3 6-2,5,R128,98,5,2,59,39,29,16,0,0,2,6,8,80,51,28,12,0,8,15
2026-580,Australian Open,Hard,128,G,O,20260120,51,S0JA,,,Eliot Spizzirri,R,185,USA,24.077,85,725,F0FV,28,,Joao Fonseca,R,188,BRA,19.417,32,1510,6-4 2-6 6-1 6-2,5,R128,161,14,2,97,65,53,16,0,7,9,10,5,102,63,42,19,0,8,13
2026-580,Australian Open,Hard,128,G,O,20260120,52,B0BI,,,Sebastian Baez,R,170,ARG,25.062,36,1390,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.538,61,905,6-4 6-4 3-6 5-7 6-3,5,R128,195,10,2,154,120,87,18,0,10,13,30,5,150,107,78,23,0,6,10
2026-580,Australian Open,Hard,128,G,O,20260120,53,B0NN,,,Nishesh Basavareddy,R,180,USA,20.72,242,230,O483,,,Christopher O'Connell,R,183,AUS,31.633,118,521,4-6 7-6(7) 6-7(3) 6-2 6-3,5,R128,251,17,5,148,85,64,40,0,1,4,25,3,176,108,80,31,0,8,13
2026-580,Australian Open,Hard,128,G,O,20260120,54,SU87,,,Lorenzo Sonego,R,191,ITA,30.697,40,1240,TE16,,,Carlos Taberner,R,183,ESP,28.452,99,630,6-4 6-0 6-3,5,R128,106,13,2,62,46,37,8,0,0,1,1,11,77,51,28,9,0,5,12
2026-580,Australian Open,Hard,128,G,O,20260120,55,WB32,,,Yibing Wu,R,183,CHN,26.27,168,347,N0BG,,,Luca Nardi,R,185,ITA,22.459,108,561,7-5 4-6 6-4 6-2,5,R128,,7,3,132,75,52,32,0,15,19,7,6,117,66,42,27,0,6,13
2026-580,Australian Open,Hard,128,G,O,20260120,56,S0IA,,,Dane Sweeny,R,170,AUS,24.936,182,325,MC65,,,Gael Monfils,R,193,FRA,39.387,110,550,6-7(3) 7-5 6-4 7-5,5,R128,,2,3,148,104,74,25,0,9,11,14,6,164,112,79,24,0,14,19
2026-580,Australian Open,Hard,128,G,O,20260120,57,J0DZ,,,Rafael Jodar,R,191,ESP,19.343,150,418,S0UV,,,Rei Sakamoto,R,193,JPN,19.576,203,292,7-6(6) 6-1 5-7 4-6 6-3,5,R128,234,4,1,160,99,70,39,0,6,9,6,4,173,112,76,34,0,10,15
2026-580,Australian Open,Hard,128,G,O,20260120,58,S0AG,2,,Jannik Sinner,R,191,ITA,24.43,2,11500,G09O,,,Hugo Gaston,L,173,FRA,25.317,93,656,6-2 6-1 RET,5,R128,71,6,0,45,29,25,8,0,3,3,0,0,47,23,14,8,0,3,7
2026-580,Australian Open,Hard,128,G,O,20260120,59,FB98,9,,Taylor Fritz,R,196,USA,28.23,9,3840,R0EB,,,Valentin Royer,R,188,FRA,24.646,58,924,7-6(5) 5-7 6-1 6-3,5,R128,182,24,3,110,76,62,18,0,4,7,19,6,150,89,62,25,0,15,21
2026-580,Australian Open,Hard,128,G,O,20260120,60,HB71,,,Hubert Hurkacz,R,196,POL,28.939,55,965,BU13,,,Zizou Bergs,R,185,BEL,26.634,43,1170,6-7(6) 7-6(6) 6-3 6-3,5,R128,204,18,2,140,110,87,15,0,6,6,15,6,147,106,75,23,0,8,11
2026-580,Australian Open,Hard,128,G,O,20260120,61,KI82,,,Vit Kopriva,R,178,CZE,28.6,101,626,SL28,,,Jan-Lennard Struff,R,193,GER,35.74,86,706,4-6 6-2 2-6 6-3 6-1,5,R128,190,19,5,169,110,78,24,0,16,20,16,10,121,78,51,18,0,5,12
2026-580,Australian Open,Hard,128,G,O,20260120,62,M0FH,,,Tomas Machac,R,183,CZE,25.27,24,1610,D875,,,Grigor Dimitrov,R,191,BUL,34.683,45,1105,6-4 6-4 6-3,5,R128,107,21,1,82,58,45,15,0,4,4,11,4,97,78,48,8,0,6,10
2026-580,Australian Open,Hard,128,G,O,20260120,63,TE51,31,,Stefanos Tsitsipas,R,193,GRE,27.441,35,1455,M0HU,,,Shintaro Mochizuki,R,175,JPN,22.637,112,547,4-6 6-3 6-2 6-2,5,R128,180,16,6,105,72,57,16,0,7,8,3,6,136,79,50,26,0,15,20
2026-580,Australian Open,Hard,128,G,O,20260120,64,D994,,,James Duckworth,R,183,AUS,33.999,88,694,P0HW,,,Dino Prizmic,R,188,CRO,20.46,127,481,7-6(4) 3-6 1-6 7-5 6-3,5,R128,262,16,5,179,119,80,30,0,14,20,9,12,174,108,76,35,0,14,18
2026-580,Australian Open,Hard,128,G,O,20260121,65,C0AU,18,,Francisco Cerundolo,R,185,ARG,27.441,21,2035,D923,,,Damir Dzumhur,R,175,BIH,33.673,66,837,6-3 6-2 6-1,5,R64,98,10,1,66,36,29,20,0,2,3,3,1,78,50,29,12,0,5,12
2026-580,Australian Open,Hard,128,G,O,20260121,66,PL56,19,,Tommy Paul,R,185,USA,28.682,20,2050,T0A1,,,Thiago Agustin Tirante,R,185,ARG,24.783,103,605,6-3 6-4 6-2,5,R64,124,4,1,82,47,37,23,0,4,4,12,3,85,48,36,11,0,6,10
2026-580,Australian Open,Hard,128,G,O,20260121,67,RE44,13,,Andrey Rublev,R,188,RUS,28.255,15,2600,F0F2,,,Jaime Faria,R,188,POR,22.461,151,413,6-4 6-3 4-6 7-5,5,R64,172,6,3,125,88,67,20,0,10,12,10,5,120,77,53,22,0,4,9
2026-580,Australian Open,Hard,128,G,O,20260121,68,M0CI,,,Fabian Marozsan,R,193,HUN,26.289,47,1065,MQ75,,,Kamil Majchrzak,R,183,POL,30.023,59,918,6-3 6-4 7-6(5),5,R64,144,5,2,113,83,52,16,0,8,12,3,4,119,80,45,14,0,8,14
2026-580,Australian Open,Hard,128,G,O,20260121,69,MM58,11,,Daniil Medvedev,R,198,RUS,29.944,12,2910,HB64,,,Quentin Halys,R,191,FRA,29.238,83,725,6-7(9) 6-3 6-4 6-2,5,R64,184,13,4,145,98,72,26,0,10,12,6,6,115,75,54,16,0,4,10
2026-580,Australian Open,Hard,128,G,O,20260121,70,EA24,,,Tomas Martin Etcheverry,R,196,ARG,26.513,62,895,F0DM,,,Arthur Fery,R,175,GBR,23.529,186,316,7-6(4) 6-1 6-3,5,R64,165,11,1,102,70,47,23,0,9,10,5,1,92,66,40,14,0,6,11
2026-580,Australian Open,Hard,128,G,O,20260121,71,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.714,1,12050,H997,,,Yannick Hanfmann,R,193,GER,34.19,102,611,7-6(4) 6-4 6-3,5,R64,166,12,3,111,69,47,26,15,6,7,7,4,100,62,43,17,14,5,9
2026-580,Australian Open,Hard,128,G,O,20260121,72,BK92,10,,Alexander Bublik,R,196,KAZ,28.597,10,3065,F724,,,Marton Fucsovics,R,188,HUN,33.952,54,967,7-5 6-4 7-5,5,R64,134,12,4,90,63,48,14,0,0,2,6,6,119,72,44,26,0,8,13
2026-580,Australian Open,Hard,128,G,O,20260121,73,DH50,14,,Alejandro Davidovich Fokina,R,180,ESP,26.631,14,2635,O522,,,Reilly Opelka,R,211,USA,28.4,63,873,6-3 7-6(3) 5-7 4-6 6-4,5,R64,230,12,1,165,129,98,20,0,9,11,37,12,161,108,81,30,0,9,11
2026-580,Australian Open,Hard,128,G,O,20260121,74,T0HA,25,,Learner Tien,L,180,USA,20.137,29,1540,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.144,97,650,6-2 5-7 6-1 6-0,5,R64,124,9,2,92,55,45,19,0,2,4,4,1,94,59,31,17,0,4,13
2026-580,Australian Open,Hard,128,G,O,20260121,75,MW02,32,,Corentin Moutet,L,180,FRA,26.76,37,1383,Z0BZ,,,Michael Zheng,R,188,USA,21.985,174,337,3-6 6-1 6-3 2-0 RET,5,R64,121,10,5,76,46,33,16,0,4,7,3,1,84,62,37,6,0,0,7
2026-580,Australian Open,Hard,128,G,O,20260121,76,BT72,,,Nuno Borges,R,185,POR,28.92,46,1070,TC61,,,Jordan Thompson,R,183,AUS,31.756,111,548,6-7(9) 6-3 6-2 6-4,5,R64,186,10,4,130,89,64,24,0,5,7,12,1,121,70,46,26,0,1,7
2026-580,Australian Open,Hard,128,G,O,20260121,77,Z355,3,,Alexander Zverev,R,198,GER,28.756,3,5105,MP20,,,Alexandre Muller,R,183,FRA,28.969,52,980,6-3 4-6 6-3 6-4,5,R64,183,18,1,108,74,53,21,0,5,8,4,2,125,86,55,18,0,10,16
2026-580,Australian Open,Hard,128,G,O,20260121,78,DH58,6,,Alex de Minaur,R,183,AUS,26.927,6,4080,M0JF,,,Hamad Medjedovic,R,188,SRB,22.513,90,681,6-7(5) 6-2 6-2 6-1,5,R64,184,12,4,110,77,59,20,0,2,3,19,11,137,88,57,19,0,14,21
2026-580,Australian Open,Hard,128,G,O,20260121,79,N771,26,,Cameron Norrie,L,188,GBR,30.415,27,1553,N0AM,,,Emilio Nava,R,185,USA,24.137,89,683,6-1 7-6(3) 4-6 7-6(5),5,R64,200,5,2,144,112,79,19,0,7,10,19,5,148,105,69,22,0,15,19
2026-580,Australian Open,Hard,128,G,O,20260121,80,TD51,29,,Frances Tiafoe,R,188,USA,28.003,34,1500,C0DF,,,Francisco Comesana,R,178,ARG,25.292,68,829,6-4 6-3 4-6 6-2,5,R64,185,7,1,108,61,52,25,0,4,5,15,5,124,84,57,17,0,12,17
2026-580,Australian Open,Hard,128,G,O,20260122,81,KE29,15,,Karen Khachanov,R,198,RUS,29.673,18,2320,B0NN,,,Nishesh Basavareddy,R,180,USA,20.726,242,230,6-1 6-4 6-3,5,R64,118,15,1,70,53,43,12,0,4,4,10,3,93,45,32,17,0,7,12
2026-580,Australian Open,Hard,128,G,O,20260122,82,M0NI,16,,Jakub Mensik,R,196,CZE,20.392,17,2345,J0DZ,,,Rafael Jodar,R,191,ESP,19.348,150,418,6-2 6-4 6-4,5,R64,120,9,2,90,55,44,15,0,4,6,3,1,85,52,31,16,0,5,11
2026-580,Australian Open,Hard,128,G,O,20260122,83,D643,4,,Novak Djokovic,R,188,SRB,38.672,4,4780,M0IF,Q,,Francesco Maestrelli,R,196,ITA,23.088,141,436,6-3 6-2 6-2,5,R64,136,5,4,78,52,45,9,0,4,5,10,4,93,56,30,15,0,10,16
2026-580,Australian Open,Hard,128,G,O,20260122,84,M0EJ,5,,Lorenzo Musetti,R,185,ITA,23.89,5,4105,SU87,,,Lorenzo Sonego,R,191,ITA,30.702,40,1240,6-3 6-3 6-4,5,R64,169,2,2,87,58,40,17,0,4,6,5,6,116,77,47,13,0,17,23
2026-580,Australian Open,Hard,128,G,O,20260122,85,S0S1,8,,Ben Shelton,L,193,USA,23.288,7,4000,S0IA,,,Dane Sweeny,R,170,AUS,24.942,182,325,6-3 6-2 6-2,5,R64,104,19,2,64,44,39,14,0,0,0,0,5,80,58,36,8,0,7,12
2026-580,Australian Open,Hard,128,G,O,20260122,86,D0FJ,22,,Luciano Darderi,R,183,ITA,23.937,25,1599,B0BI,,,Sebastian Baez,R,170,ARG,25.068,36,1390,6-3 1-6 6-4 6-3,5,R64,149,10,1,104,67,41,21,0,5,10,4,3,106,82,49,11,0,8,14
2026-580,Australian Open,Hard,128,G,O,20260122,87,VA25,30,,Valentin Vacherot,R,193,MON,27.184,31,1519,H0BH,,,Rinky Hijikata,R,178,AUS,24.912,114,542,6-1 6-3 4-6 6-2,5,R64,151,15,4,99,70,56,16,0,4,5,5,5,109,87,55,8,0,5,11
2026-580,Australian Open,Hard,128,G,O,20260122,88,Q02L,,,Ethan Quinn,R,191,USA,21.864,80,733,HB71,,,Hubert Hurkacz,R,196,POL,28.945,55,965,6-4 7-6(5) 6-1,5,R64,136,12,2,108,72,56,21,0,8,8,9,1,95,62,40,18,0,4,7
2026-580,Australian Open,Hard,128,G,O,20260122,89,S0JA,,,Eliot Spizzirri,R,185,USA,24.082,85,725,WB32,,,Yibing Wu,R,183,CHN,26.275,168,347,6-2 6-4 6-7(4) 4-6 6-3,5,R64,225,8,4,170,121,83,26,0,11,14,11,6,164,111,77,22,0,9,15
2026-580,Australian Open,Hard,128,G,O,20260122,90,V812,,,Botic van de Zandschulp,R,191,NED,30.303,75,759,S0RE,,,Juncheng Shang,L,180,CHN,20.969,318,165,7-6(6) 6-2 6-3,5,R64,136,15,6,94,64,56,13,0,1,1,2,3,101,68,46,16,0,9,13
2026-580,Australian Open,Hard,128,G,O,20260122,91,C977,,,Marin Cilic,R,198,CRO,37.317,70,790,SU55,21,,Denis Shapovalov,L,185,CAN,26.773,23,1650,6-4 6-3 6-2,5,R64,130,5,5,91,54,43,17,0,4,6,3,7,82,47,29,12,0,6,12
2026-580,Australian Open,Hard,128,G,O,20260122,92,S0AG,2,,Jannik Sinner,R,191,ITA,24.435,2,11500,D994,,,James Duckworth,R,183,AUS,34.004,88,694,6-1 6-4 6-2,5,R64,,18,2,77,53,45,13,0,3,3,9,4,79,50,35,8,0,9,14
2026-580,Australian Open,Hard,128,G,O,20260122,93,M0FH,,,Tomas Machac,R,183,CZE,25.276,24,1610,TE51,31,,Stefanos Tsitsipas,R,193,GRE,27.447,35,1455,6-4 3-6 7-6(5) 7-6(5),5,R64,187,6,6,139,97,67,28,0,7,10,24,8,135,83,65,26,0,0,3
2026-580,Australian Open,Hard,128,G,O,20260122,94,W367,,,Stan Wawrinka,R,183,SUI,40.821,139,437,G0IX,,,Arthur Gea,R,180,FRA,21.054,198,300,4-6 6-3 3-6 7-5 7-6(3),5,R64,274,11,3,177,139,92,23,0,10,14,13,7,170,121,83,23,0,9,13
2026-580,Australian Open,Hard,128,G,O,20260122,95,FB98,9,,Taylor Fritz,R,196,USA,28.241,9,3840,KI82,,,Vit Kopriva,R,178,CZE,28.611,101,626,6-1 6-4 7-6(4),5,R64,119,15,1,88,70,56,11,0,2,3,3,2,86,53,33,19,0,3,7
2026-580,Australian Open,Hard,128,G,O,20260122,96,RH16,12,,Casper Ruud,R,183,NOR,27.086,13,2795,MU94,,,Jaume Munar,R,183,ESP,28.717,39,1335,6-3 7-5 6-4,5,R64,144,5,3,97,56,45,24,0,2,2,5,4,89,42,29,29,0,7,10
2026-580,Australian Open,Hard,128,G,O,20260123,97,T0HA,25,,Learner Tien,L,180,USA,20.142,29,1540,BT72,,,Nuno Borges,R,185,POR,28.925,46,1070,7-6(9) 6-4 6-2,5,R32,127,8,5,101,72,52,15,0,4,6,8,2,96,80,51,7,0,3,8
2026-580,Australian Open,Hard,128,G,O,20260123,98,MM58,11,,Daniil Medvedev,R,198,RUS,29.949,12,2910,M0CI,,,Fabian Marozsan,R,193,HUN,26.294,47,1065,6-7(5) 4-6 7-5 6-0 6-3,5,R32,226,19,10,146,94,61,30,0,5,12,0,2,188,134,82,16,0,17,28
2026-580,Australian Open,Hard,128,G,O,20260123,99,PL56,19,,Tommy Paul,R,185,USA,28.687,20,2050,DH50,14,,Alejandro Davidovich Fokina,R,180,ESP,26.637,14,2635,6-1 6-1 RET,5,R32,55,3,0,32,21,19,9,0,0,0,3,4,51,31,15,8,0,3,8
2026-580,Australian Open,Hard,128,G,O,20260123,100,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.721,1,12050,MW02,32,,Corentin Moutet,L,180,FRA,26.765,37,1383,6-2 6-4 6-1,5,R32,127,3,1,72,51,37,11,0,2,4,0,5,93,56,29,15,0,5,13
2026-580,Australian Open,Hard,128,G,O,20260123,101,Z355,3,,Alexander Zverev,R,198,GER,28.761,3,5105,N771,26,,Cameron Norrie,L,188,GBR,30.42,27,1553,7-5 4-6 6-3 6-1,5,R32,,16,1,106,79,61,14,0,3,5,5,2,116,83,53,18,0,8,14
2026-580,Australian Open,Hard,128,G,O,20260123,102,DH58,6,,Alex de Minaur,R,183,AUS,26.932,6,4080,TD51,29,,Frances Tiafoe,R,188,USA,28.008,34,1500,6-3 6-4 7-5,5,R32,163,8,6,97,60,46,20,0,3,5,6,1,101,60,35,22,0,7,12
2026-580,Australian Open,Hard,128,G,O,20260123,103,C0AU,18,,Francisco Cerundolo,R,185,ARG,27.447,21,2035,RE44,13,,Andrey Rublev,R,188,RUS,28.26,15,2600,6-3 7-6(4) 6-3,5,R32,129,8,2,100,66,52,20,0,2,3,5,5,81,50,42,12,0,3,6
2026-580,Australian Open,Hard,128,G,O,20260123,104,BK92,10,,Alexander Bublik,R,196,KAZ,28.602,10,3065,EA24,,,Tomas Martin Etcheverry,R,196,ARG,26.519,62,895,7-6(4) 7-6(5) 6-4,5,R32,155,21,2,104,67,60,23,0,3,3,10,1,112,75,56,24,0,3,4
2026-580,Australian Open,Hard,128,G,O,20260124,105,D0FJ,22,,Luciano Darderi,R,183,ITA,23.943,25,1599,KE29,15,,Karen Khachanov,R,198,RUS,29.678,18,2320,7-6(5) 3-6 6-3 6-4,5,R32,206,17,4,126,78,59,27,0,2,4,14,4,139,91,64,26,0,5,8
2026-580,Australian Open,Hard,128,G,O,20260124,106,M0EJ,5,,Lorenzo Musetti,R,185,ITA,23.896,5,4105,M0FH,,,Tomas Machac,R,183,CZE,25.281,24,1610,5-7 6-4 6-2 5-7 6-2,5,R32,265,10,5,156,118,79,17,0,10,15,3,3,197,153,88,19,0,18,26
2026-580,Australian Open,Hard,128,G,O,20260124,107,S0AG,2,,Jannik Sinner,R,191,ITA,24.441,2,11500,S0JA,,,Eliot Spizzirri,R,185,USA,24.088,85,725,4-6 6-3 6-4 6-4,5,R32,222,17,4,131,88,56,19,13,10,16,6,3,108,70,46,17,11,3,11
2026-580,Australian Open,Hard,128,G,O,20260124,108,S0S1,8,,Ben Shelton,L,193,USA,23.294,7,4000,VA25,30,,Valentin Vacherot,R,193,MON,27.19,31,1519,6-4 6-4 7-6(5),5,R32,138,15,1,96,63,50,22,0,1,1,12,4,91,63,50,13,0,2,4
2026-580,Australian Open,Hard,128,G,O,20260124,109,FB98,9,,Taylor Fritz,R,196,USA,28.241,9,3840,W367,,,Stan Wawrinka,R,183,SUI,40.827,139,437,7-6(5) 2-6 6-4 6-4,5,R32,165,30,1,120,84,71,18,0,5,7,16,3,114,70,60,24,0,5,7
2026-580,Australian Open,Hard,128,G,O,20260124,110,D643,4,,Novak Djokovic,R,188,SRB,38.678,4,4780,V812,,,Botic van de Zandschulp,R,191,NED,30.308,75,759,6-3 6-4 7-6(4),5,R32,164,11,5,93,61,46,20,14,5,7,15,4,102,62,45,18,11,5,9
2026-580,Australian Open,Hard,128,G,O,20260124,111,M0NI,16,,Jakub Mensik,R,196,CZE,20.397,17,2345,Q02L,,,Ethan Quinn,R,191,USA,21.87,80,733,6-2 7-6(5) 7-6(5),5,R32,154,11,7,102,54,39,28,0,3,6,9,7,107,57,39,23,0,5,10
2026-580,Australian Open,Hard,128,G,O,20260124,112,RH16,12,,Casper Ruud,R,183,NOR,27.091,13,2795,C977,,,Marin Cilic,R,198,CRO,37.322,70,790,6-4 6-4 3-6 7-5,5,R32,185,25,4,123,87,68,15,0,8,10,18,6,123,65,51,31,0,3,7
2026-580,Australian Open,Hard,128,G,O,20260125,113,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.727,1,12050,PL56,19,,Tommy Paul,R,185,USA,28.693,20,2050,7-6(6) 6-4 7-5,5,R16,158,2,0,89,63,50,19,15,1,2,7,5,106,60,50,23,14,7,9
2026-580,Australian Open,Hard,128,G,O,20260125,114,Z355,3,,Alexander Zverev,R,198,GER,28.767,3,5105,C0AU,18,,Francisco Cerundolo,R,185,ARG,27.452,21,2035,6-2 6-4 6-4,5,R16,134,7,2,75,60,48,8,0,1,2,0,0,94,60,39,15,0,3,8
2026-580,Australian Open,Hard,128,G,O,20260125,115,DH58,6,,Alex de Minaur,R,183,AUS,26.938,6,4080,BK92,10,,Alexander Bublik,R,196,KAZ,28.608,10,3065,6-4 6-1 6-1,5,R16,93,5,1,62,38,31,17,0,0,0,6,4,81,54,28,12,0,5,11
2026-580,Australian Open,Hard,128,G,O,20260125,116,T0HA,25,,Learner Tien,L,180,USA,20.148,29,1540,MM58,11,,Daniil Medvedev,R,198,RUS,29.955,12,2910,6-4 6-0 6-3,5,R16,100,5,1,68,45,32,15,0,0,1,6,6,86,59,34,7,0,3,10
2026-580,Australian Open,Hard,128,G,O,20260126,117,M0EJ,5,,Lorenzo Musetti,R,185,ITA,23.901,5,4105,FB98,9,,Taylor Fritz,R,196,USA,28.246,9,3840,6-2 7-5 6-4,5,R16,124,13,2,81,56,47,17,0,2,2,10,1,84,50,32,19,0,5,9
2026-580,Australian Open,Hard,128,G,O,20260126,118,S0AG,2,,Jannik Sinner,R,191,ITA,24.446,2,11500,D0FJ,22,,Luciano Darderi,R,183,ITA,23.948,25,1599,6-1 6-3 7-6(2),5,R16,131,19,0,86,63,51,14,0,6,6,11,5,97,56,41,16,0,4,8
2026-580,Australian Open,Hard,128,G,O,20260128,119,D643,4,,Novak Djokovic,R,188,SRB,38.689,4,4780,M0NI,16,,Jakub Mensik,R,196,CZE,20.397,17,2345,W/O,5,R16,,,,,,,,,,,,,,,,,,,
2026-580,Australian Open,Hard,128,G,O,20260126,120,S0S1,8,,Ben Shelton,L,193,USA,23.299,7,4000,RH16,12,,Casper Ruud,R,183,NOR,27.097,13,2795,3-6 6-4 6-3 6-4,5,R16,,14,4,96,63,52,24,0,2,3,9,6,125,88,59,22,0,8,11
2026-580,Australian Open,Hard,128,G,O,20260127,121,Z355,3,,Alexander Zverev,R,198,GER,28.772,3,5105,T0HA,25,,Learner Tien,L,180,USA,20.153,29,1540,6-3 6-7(5) 6-1 7-6(3),5,QF,193,24,1,133,98,75,21,0,3,3,11,9,133,92,63,19,0,4,7
2026-580,Australian Open,Hard,128,G,O,20260127,122,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.732,1,12050,DH58,6,,Alex de Minaur,R,183,AUS,26.943,6,4080,7-5 6-2 6-1,5,QF,138,1,0,93,51,30,16,6,9,16,5,3,83,48,37,19,12,5,7
2026-580,Australian Open,Hard,128,G,O,20260128,123,D643,4,,Novak Djokovic,R,188,SRB,38.689,4,4780,M0EJ,5,,Lorenzo Musetti,R,185,ITA,23.907,5,4105,4-6 3-6 3-1 RET,5,QF,128,4,1,83,53,31,12,6,6,11,4,2,60,40,24,12,8,3,6
2026-580,Australian Open,Hard,128,G,O,20260128,124,S0AG,2,,Jannik Sinner,R,191,ITA,24.452,2,11500,S0S1,8,,Ben Shelton,L,193,USA,23.305,7,4000,6-3 6-4 6-4,5,QF,145,5,2,91,55,42,23,0,4,4,8,3,102,78,51,10,0,9,12
2026-580,Australian Open,Hard,128,G,O,20260130,125,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.741,1,12050,Z355,3,,Alexander Zverev,R,198,GER,28.78,3,5105,6-4 7-6(5) 6-7(3) 6-7(4) 7-5,5,SF,341,12,5,187,121,89,41,27,5,7,17,4,203,146,105,31,25,10,13
2026-580,Australian Open,Hard,128,G,O,20260130,126,D643,4,,Novak Djokovic,R,188,SRB,38.694,4,4780,S0AG,2,,Jannik Sinner,R,191,ITA,24.457,2,11500,3-6 6-3 4-6 6-4 6-4,5,SF,252,12,3,158,112,80,23,21,16,18,26,2,133,100,80,17,21,5,8
2026-580,Australian Open,Hard,128,G,O,20260201,127,A0E2,1,,Carlos Alcaraz,R,183,ESP,22.746,1,12050,D643,4,,Novak Djokovic,R,188,SRB,38.7,4,4780,2-6 6-2 6-3 7-5,5,F,185,9,2,101,67,52,20,16,4,6,4,2,122,85,57,20,14,12,16
2026-375,Montpellier,Hard,28,250,I,20260202,1,BD06,,,Roberto Bautista Agut,R,183,ESP,37.812,89,670,O483,,,Christopher O'Connell,R,183,AUS,31.677,119,511,5-7 6-3 7-5,3,R32,168,6,0,101,70,48,18,17,6,9,11,1,110,58,42,26,16,9,13
2026-375,Montpellier,Hard,28,250,I,20260202,2,G0IX,,,Arthur Gea,R,180,FRA,21.092,168,353,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.582,57,905,6-3 RET,3,R32,39,2,2,23,11,10,10,5,0,0,1,1,20,17,12,1,4,0,1
2026-375,Montpellier,Hard,28,250,I,20260202,3,ME82,,,Adrian Mannarino,L,180,FRA,37.604,70,810,MO44,,,Pedro Martinez,R,185,ESP,28.78,77,728,7-6(3) 6-1,3,R32,96,14,1,65,44,36,13,10,2,2,1,1,55,32,23,12,9,1,3
2026-375,Montpellier,Hard,28,250,I,20260203,4,HH26,5,,Ugo Humbert,L,188,FRA,27.614,38,1320,V812,,,Botic van de Zandschulp,R,191,NED,30.341,67,849,6-3 6-4,3,R32,72,9,1,58,42,32,11,10,3,3,9,1,47,29,25,8,9,1,3
2026-375,Montpellier,Hard,28,250,I,20260203,5,F0F1,6,,Arthur Fils,R,185,FRA,21.651,42,1110,R0EB,,,Valentin Royer,R,188,FRA,24.69,56,920,7-6(7) 6-7(4) 6-2,3,R32,152,14,5,108,66,55,21,16,0,1,14,2,101,68,50,20,16,5,8
2026-375,Montpellier,Hard,28,250,I,20260203,6,D0DT,,,Martin Damm,L,203,USA,22.350,160,373,HB71,7,,Hubert Hurkacz,R,196,POL,28.983,52,965,7-6(5) 6-4,3,R32,92,13,3,71,44,32,19,11,1,1,14,0,72,45,33,16,11,3,4
2026-375,Montpellier,Hard,28,250,I,20260203,7,BV16,,,Ugo Blanchet,R,175,FRA,27.086,174,343,VA08,,,Andrea Vavassori,R,193,ITA,30.757,282,185,6-4 6-3,3,R32,79,5,3,63,33,26,16,10,1,2,9,2,58,43,29,4,9,5,8
2026-375,Montpellier,Hard,28,250,I,20260203,8,CD85,,,Pablo Carreno Busta,R,188,ESP,34.571,100,616,KI95,,,Miomir Kecmanovic,R,183,SRB,26.434,69,820,4-6 6-3 7-6(4),3,R32,127,7,2,102,69,50,13,16,3,6,15,4,87,51,45,13,15,4,7
